,Unnamed: 0,h,V,C,x,y,Y
486,486,5R,3,4,0.399,0.305,5.24
487,487,5R,3,6,0.443,0.296,4.71
488,488,5R,3,8,0.484,0.285,4.31
489,489,5R,3,10,0.525,0.274,3.97
490,490,5R,3,12,0.567,0.264,3.7
491,491,5R,3,14,0.601,0.253,3.45
492,492,5R,3,16,0.636,0.242,3.26
493,493,7.5R,3,2,0.356,0.318,5.91
494,494,7.5R,3,4,0.405,0.316,5.28
495,495,7.5R,3,6,0.456,0.312,4.75
496,496,7.5R,3,8,0.502,0.305,4.34
497,497,7.5R,3,10,0.546,0.298,4.0
498,498,7.5R,3,12,0.588,0.289,3.7
499,499,7.5R,3,14,0.63,0.28,3.45
500,500,7.5R,3,16,0.668,0.272,3.26
501,501,7.5R,3,18,0.709,0.265,3.07
502,502,10R,3,2,0.358,0.324,5.96
503,503,10R,3,4,0.412,0.33,5.38
504,504,10R,3,6,0.47,0.332,4.79
505,505,10R,3,8,0.52,0.33,4.37
506,506,10R,3,10,0.569,0.329,4.04
507,507,10R,3,12,0.616,0.326,3.77
508,508,10R,3,14,0.665,0.323,3.49
509,509,2.5YR,3,0,0.31,0.316,6.55
510,510,2.5YR,3,2,0.359,0.33,6.07
511,511,2.5YR,3,4,0.417,0.343,5.41
512,512,2.5YR,3,6,0.481,0.352,4.89
513,513,2.5YR,3,8,0.535,0.358,4.46
514,514,2.5YR,3,10,0.589,0.362,4.1
515,515,2.5YR,3,12,0.642,0.367,3.83
516,516,5YR,3,2,0.359,0.336,6.07
517,517,5YR,3,4,0.421,0.358,5.55
518,518,5YR,3,6,0.492,0.378,4.97
519,519,5YR,3,8,0.549,0.392,4.58
520,520,5YR,3,10,0.61,0.407,4.25
521,521,7.5YR,3,2,0.357,0.343,6.18
522,522,7.5YR,3,4,0.421,0.375,5.65
523,523,7.5YR,3,6,0.5,0.408,5.12
524,524,7.5YR,3,8,0.56,0.432,4.75
525,525,10YR,3,2,0.356,0.348,6.18
526,526,10YR,3,4,0.419,0.389,5.75
527,527,10YR,3,6,0.503,0.441,5.2
528,528,2.5Y,3,0,0.31,0.316,6.55
529,529,2.5Y,3,2,0.353,0.352,6.18
530,530,2.5Y,3,4,0.415,0.403,5.8
531,531,2.5Y,3,6,0.502,0.468,5.28
532,532,5Y,3,2,0.35,0.357,6.24
533,533,5Y,3,4,0.409,0.42,5.8
534,534,5Y,3,6,0.497,0.495,5.28
535,535,7.5Y,3,2,0.347,0.361,6.24
536,536,7.5Y,3,4,0.4,0.425,5.8
537,537,7.5Y,3,6,0.484,0.523,5.28
538,538,10Y,3,2,0.341,0.364,6.18
539,539,10Y,3,4,0.387,0.435,5.8
540,540,10Y,3,6,0.461,0.543,5.24
541,541,2.5GY,3,0,0.31,0.316,6.55
542,542,2.5GY,3,2,0.334,0.367,6.18
543,543,2.5GY,3,4,0.369,0.441,5.75
544,544,2.5GY,3,6,0.42,0.563,5.12
545,545,5GY,3,2,0.324,0.367,6.18
546,546,5GY,3,4,0.343,0.441,5.65
547,547,5GY,3,6,0.371,0.561,4.97
